"manufacturer","price_segment","num_products","rank_in_segment"
"Cipla Ltd","Low","675","1"
"Sun Pharmaceutical Industries Ltd","Low","645","2"
"Abbott","Low","546","3"
"Torrent Pharmaceuticals Ltd","Low","533","4"
"Alkem Laboratories Ltd","Low","497","5"
"Intas Pharmaceuticals Ltd","Low","490","6"
"Zydus Cadila","Low","472","7"
"Mankind Pharma Ltd","Low","396","8"
"Lupin Ltd","Low","382","9"
"Micro Labs Ltd","Low","342","10"
"Sun Pharmaceutical Industries Ltd","Mid","1408","1"
"Cipla Ltd","Mid","1072","2"
"Torrent Pharmaceuticals Ltd","Mid","1024","3"
"Intas Pharmaceuticals Ltd","Mid","1014","4"
"Alkem Laboratories Ltd","Mid","858","5"
"Lupin Ltd","Mid","781","6"
"Abbott","Mid","757","7"
"Mankind Pharma Ltd","Mid","748","8"
"Micro Labs Ltd","Mid","732","9"
"Leeford Healthcare Ltd","Mid","730","10"
"Sun Pharmaceutical Industries Ltd","Premium","933","1"
"Intas Pharmaceuticals Ltd","Premium","798","2"
"Cipla Ltd","Premium","720","3"
"Zydus Cadila","Premium","595","4"
"Lupin Ltd","Premium","572","5"
"Abbott","Premium","474","6"
"Torrent Pharmaceuticals Ltd","Premium","470","7"
"Alkem Laboratories Ltd","Premium","454","8"
"Emcure Pharmaceuticals Ltd","Premium","382","9"
"Dr Reddy's Laboratories Ltd","Premium","378","10"
