"composition_key","min_price","max_price","price_ratio","num_brands"
"Cefuroxime 500mg","1.25","2100","1680","1657"
"Povidone Iodine ","1.25","2002","1601.6","354"
"Cefoperazone 500mg","25","31069","1242.76","462"
"Phenobarbitone 30mg","3.78","2466.02","652.39","30"
"Docetaxel 120mg","31.47","19750","627.58","43"
"Octreotide acetate ","1.25","660","528","26"
"Nimesulide 50mg","2.37","1184.21","499.67","333"
"Rofecoxib 12.5mg","6.5","2991.25","460.19","29"
"Domperidone 10mg","2.11","964.6","457.16","3271"
"Diclofenac 50mg","2.5","1137","454.8","3311"
